Вайтран | Вайтран | X: 19855.226563, Y: -7422.510254, Z: -3582.619385, IconType: 40 | 0x162CE
Скайрим | Пещера Каменный Ручей | X: 174741.984375, Y: -24827.777344, Z: -3350.071289, IconType: 4 | 0x80F13
Скайрим | Пещера Крегслейн | X: 167053.703125, Y: -34010.234375, Z: -1629.716187, IconType: 4 | 0x16226
Скайрим | Пещера Кронвангр | X: 119817.648438, Y: -5293.932617, Z: -11937.983398, IconType: 4 | 0x16228
Скайрим | Пещера Лунный Бор | X: -116902.429688, Y: 92399.132813, Z: -7318.151367, IconType: 4 | 0x16293
Скайрим | Пещера Мертворожденного | X: 128703.976563, Y: 64120.878906, Z: -6085.774414, IconType: 4 | 0x162C0
Скайрим | Пещера Мерцающий Туман | X: 47535.816406, Y: 10424.577148, Z: -3107.343262, IconType: 4 | 0x162A9
Скайрим | Пещера Отвесный Утес | X: -141784.843750, Y: 23524.708984, Z: -7998.217773, IconType: 4 | 0x16213
Скайрим | Пещера Сломанный Клык | X: -50831.613281, Y: -14939.185547, Z: -5548.547363, IconType: 4 | 0x16218
Скайрим | Пещера Сосновый Пик | X: 75298.429688, Y: -54368.765625, Z: 10257.142578, IconType: 4 | 0x16294
Скайрим | Пещера Толвальда | X: 179728.609375, Y: -47142.410156, Z: 3004.741211, IconType: 4 | 0x162C5
Скайрим | Пещера Хеймара | X: 54739.710938, Y: -81395.796875, Z: 15404.750977, IconType: 4 | 0x1625D
Скайрим | Пещера Хоба | X: 68591.039063, Y: 96020.148438, Z: -12168.000000, IconType: 4 | 0x16266
Скайрим | Пещера Холодный Берег | X: 145834.140625, Y: 90932.179688, Z: -13663.933594, IconType: 4 | 0x1620F
Скайрим | Пик Древних | X: -41375.179688, Y: 35963.875000, Z: 2602.320313, IconType: 12 | 0x16238
Скайрим | Пик Прыжок Барда | X: -91689.070313, Y: -35972.167969, Z: 1956.055664, IconType: 11 | 0x1620E
Скайрим | Плащ Пилигрима | X: 83391.328125, Y: 117696.289063, Z: -17464.625000, IconType: 9 | 0x162AD
Скайрим | Полулунная лесопилка | X: -42817.492188, Y: -58192.085938, Z: 954.634949, IconType: 14 | 0x16370
Скайрим | Поляна Предков | X: -13272.541016, Y: -95940.773438, Z: 9628.433594, IconType: 10 | 0x2004BA5
Скайрим | Поместье Златоцвет | X: 155666.187500, Y: -97516.890625, Z: 11119.637695, IconType: 3 | 0x1A710
Скайрим | Последний пост | X: 195267.281250, Y: -73587.765625, Z: 15346.705078, IconType: 5 | 0x402C49B
Скайрим | Пост Предателя | X: 162680.265625, Y: 37573.921875, Z: -10068.802734, IconType: 30 | 0xC2EE9
Скайрим | Пост Септимия Сегония | X: 115340.812500, Y: 141083.593750, Z: -13932.322266, IconType: 4 | 0x2D511
Скайрим | Потерянный Валкигг | X: -12525.400391, Y: 46844.582031, Z: -6849.176758, IconType: 32 | 0xEAA63
Скайрим | Поцелуй Секунды | X: -3030.496338, Y: -28057.263672, Z: -3742.100342, IconType: 29 | 0x162A6
Скайрим | Предел - Лагерь Братьев Бури | X: -119234.289063, Y: 50267.847656, Z: -8308.540039, IconType: 17 | 0x16276
Скайрим | Привал Беженцев | X: 170414.734375, Y: 37535.535156, Z: -9399.904297, IconType: 22 | 0xEF570
Скайрим | Привал Хамвира | X: -18760.392578, Y: 21080.097656, Z: -6528.664063, IconType: 32 | 0xEE79C
Скайрим | Привередливый слоад | X: -51839.710938, Y: 122304.421875, Z: -13680.050781, IconType: 9 | 0x7BC2D
Скайрим | Придорожные руины | X: -43392.992188, Y: -78762.320313, Z: -2892.094971, IconType: 32 | 0x47875
Скайрим | Приречная застава | X: 41828.300781, Y: -14683.133789, Z: -1806.941406, IconType: 4 | 0x162CD
Скайрим | Пристанище Лжеца | X: -113431.445313, Y: 50797.187500, Z: -6208.000000, IconType: 4 | 0x16270
Скайрим | Причал Ледяных Вод | X: -151118.109375, Y: 122293.648438, Z: -13915.311523, IconType: 33 | 0x2008E41
Скайрим | Приют Подмастерья | X: 132555.171875, Y: 80185.859375, Z: -9758.463867, IconType: 32 | 0xEF549
Скайрим | Приют Редорана | X: -15254.299805, Y: 7226.890625, Z: -7369.200195, IconType: 4 | 0x1629F
Скайрим | Провал Сквозняков | X: -101071.117188, Y: 58377.375000, Z: -11933.962891, IconType: 4 | 0x16220
Скайрим | Пруд Глаз Мары | X: 108486.843750, Y: 8720.017578, Z: -9378.891602, IconType: 23 | 0xECF51
Скайрим | Пруд Чистых Сосен | X: -108572.210938, Y: 96024.710938, Z: -7680.627441, IconType: 23 | 0x16222
Скайрим | Рагнвальд | X: -173684.125000, Y: 26640.244141, Z: -131.029419, IconType: 7 | 0x1629A
Скайрим | Развалины | X: -101282.007813, Y: 5109.829102, Z: 251.254425, IconType: 32 | 0x200D0AE
Скайрим | Разводная пещера | X: -55217.253906, Y: 43482.804688, Z: -8381.156250, IconType: 4 | 0x1621B
Скайрим | Разделенное ущелье | X: -60412.621094, Y: -38381.410156, Z: -740.842957, IconType: 4 | 0xF5EA8
Скайрим | Разделенные башни | X: -117984.000000, Y: 27872.000000, Z: 2000.000000, IconType: 31 | 0xB6295
Скайрим | Ральдбтхар | X: 87391.000000, Y: 17980.000000, Z: 496.000000, IconType: 8 | 0x90595
Скайрим | Резиденция Черный Вереск | X: 197982.968750, Y: -97498.500000, Z: 9824.740234, IconType: 3 | 0xA7CE5
Скайрим | Речная хижина | X: 121265.515625, Y: 6841.378906, Z: -13584.466797, IconType: 30 | 0xECF4F
Скайрим | Ривервуд | X: 21941.015625, Y: -44792.433594, Z: -140.015503, IconType: 2 | 0x162A4
Скайрим | Рифт - Имперский лагерь | X: 80817.921875, Y: -87948.710938, Z: 11044.215820, IconType: 16 | 0x16281
Скайрим | Рифтен - Конюшни | X: 173136.906250, Y: -90911.695313, Z: 11102.375977, IconType: 21 | 0x96A46
Скайрим | Рорикстед | X: -84302.125000, Y: 6952.013672, Z: -4297.683105, IconType: 2 | 0x177CC
Скайрим | Роща Ведьмин Туман | X: 134199.796875, Y: -3132.147461, Z: -9668.764648, IconType: 10 | 0xE1B80
Скайрим | Роща Кин | X: 134946.921875, Y: 11395.237305, Z: -12199.945313, IconType: 3 | 0x177A1
Скайрим | Руины Бталфта | X: 87427.054688, Y: -86991.859375, Z: 11995.471680, IconType: 11 | 0xD393C
Скайрим | Руины Вдовьей заставы | X: -104945.203125, Y: 122912.265625, Z: -10913.213867, IconType: 31 | 0xEF0A7
Скайрим | Руины Высоких Врат | X: -19007.564453, Y: 106130.187500, Z: -12634.492188, IconType: 7 | 0x16263
Скайрим | Руины Кьенстаг | X: -18316.039063, Y: 72236.742188, Z: -12779.017578, IconType: 32 | 0xC2EEF
Скайрим | Руины Небесного храма | X: 119881.539063, Y: 121615.296875, Z: -10542.765625, IconType: 32 | 0xEF0AE
Скайрим | Руины Оберег Ветров | X: 19349.812500, Y: 92519.382813, Z: -11686.610352, IconType: 32 | 0xC2EEC
Скайрим | Руины Ркунда | X: 154614.359375, Y: -125430.343750, Z: 14898.919922, IconType: 11 | 0xD3939
Скайрим | Саартал | X: 92005.148438, Y: 91812.226563, Z: -11426.980469, IconType: 7 | 0x162A5
Скайрим | Свистящая шахта | X: 126388.914063, Y: 76667.812500, Z: -7799.227051, IconType: 15 | 0x16385
Скайрим | Святилище Азуры | X: 111395.195313, Y: 77770.031250, Z: 2379.626221, IconType: 34 | 0x92496
Скайрим | Святилище Аури-Эля | X: 9831.472656, Y: 100421.578125, Z: -12398.077148, IconType: 25 | 0x1C0008B3
Скайрим | Святилище Великого Древа | X: 119987.523438, Y: -22521.087891, Z: -9735.165039, IconType: 4 | 0x162B7
Скайрим | Святилище Мерунеса Дагона | X: -624.840210, Y: 51726.972656, Z: 531.303650, IconType: 34 | 0x246A5
Скайрим | Святилище Периайта | X: -145330.046875, Y: 39731.726563, Z: -186.542007, IconType: 34 | 0xAD066
Скайрим | Северная горная застава | X: 32799.312500, Y: -60907.644531, Z: 13745.992188, IconType: 32 | 0x4B6EB
Скайрим | Северная сторожевая крепость | X: -144429.890625, Y: 117428.242188, Z: -13586.954102, IconType: 6 | 0x16290
Скайрим | Северный бастион Кричащий Ветер | X: -27043.310547, Y: -71144.671875, Z: 2070.756348, IconType: 7 | 0xA0E46
Скайрим | Северный Ноголомный проход | X: -23244.130859, Y: -34273.734375, Z: -4087.924561, IconType: 4 | 0x16265
Скайрим | Северный проход Холодных Скал | X: -47481.757813, Y: 37647.785156, Z: -2827.524902, IconType: 24 | 0xF5EB1
Скайрим | Седловая скала | X: 92382.281250, Y: -5393.015625, Z: -8357.129883, IconType: 29 | 0x16225
Скайрим | Серебряное логово | X: 59246.515625, Y: 53587.250000, Z: -7717.842285, IconType: 7 | 0x162B5
Скайрим | Серозимняя застава | X: 49824.218750, Y: -2452.272461, Z: -2803.698975, IconType: 4 | 0x16259
Скайрим | Сигнальная башня Снежная | X: 53805.699219, Y: 70741.632813, Z: -1339.820557, IconType: 22 | 0xC2EF6
Скайрим | Сигнальная башня Стендарра | X: 197150.828125, Y: -116937.000000, Z: 13391.119141, IconType: 22 | 0x108A58
Скайрим | Скала Гулдун | X: 72850.609375, Y: -10225.920898, Z: -368.629425, IconType: 29 | 0x1625C
Скайрим | Сквозняковый проход | X: 2534.859375, Y: -90975.257813, Z: 8741.404297, IconType: 4 | 0xFDA48
Скайрим | Скелетный гребень | X: 132782.625000, Y: -12013.744141, Z: -7878.189941, IconType: 12 | 0x162B6
Скайрим | Склад Восточной имперской компании | X: -66223.085938, Y: 98838.507813, Z: -13881.806641, IconType: 33 | 0x4FEF2
Скайрим | Скрытая роща | X: 58938.761719, Y: 43054.042969, Z: -8736.287109, IconType: 10 | 0x162B1
Скайрим | Слеза Сироты | X: -120724.015625, Y: 129226.570313, Z: -13852.657227, IconType: 9 | 0x162B0
Скайрим | Сломанная башня | X: -108567.984375, Y: 40085.238281, Z: -5231.629395, IconType: 6 | 0x1621A
Скайрим | Снежная Завеса - Святилище | X: 145508.578125, Y: 71698.125000, Z: -9351.418945, IconType: 7 | 0x2DDD1
Скайрим | Солитьюд - Лесопилка | X: -78243.843750, Y: 91172.875000, Z: -13757.815430, IconType: 14 | 0x16382
Скайрим | Солитьюд - Маяк | X: -47781.562500, Y: 128632.234375, Z: -12907.540039, IconType: 27 | 0xC016D
Скайрим | Сосновая застава | X: -9403.505859, Y: -76356.992188, Z: 2787.121094, IconType: 30 | 0x16295
Скайрим | Старушечья скала | X: -180419.687500, Y: -19103.914063, Z: 6588.745117, IconType: 31 | 0x1622D
Скайрим | Старый Хролдан | X: -114541.539063, Y: -6795.562988, Z: -5303.878418, IconType: 3 | 0x177C3
Скайрим | Статуя Меридии | X: -94075.476563, Y: 99077.054688, Z: -7025.497559, IconType: 34 | 0x1626D
Скайрим | Сторожевая башня Рифта | X: 122814.351563, Y: -66093.773438, Z: 11985.245117, IconType: 22 | 0xD3930
Скайрим | Сторожевая башня Шора | X: 168745.718750, Y: -51129.519531, Z: 5648.000000, IconType: 22 | 0xD3934
Скайрим | Сумеречная гробница | X: -70966.062500, Y: -80572.617188, Z: -458.832031, IconType: 7 | 0x16216
Скайрим | Сумрачная шахта | X: 159835.140625, Y: 5184.554199, Z: -3570.908203, IconType: 15 | 0x16349
Скайрим | Таверна Ночные ворота | X: 73827.367188, Y: 46034.703125, Z: -6135.294434, IconType: 3 | 0x17785
Скайрим | Талморское посольство | X: -79067.289063, Y: 111308.164063, Z: -2601.893555, IconType: 3 | 0x33E45
Скайрим | Теневая башня | X: -17962.851563, Y: -87702.867188, Z: 1551.064575, IconType: 31 | 0x47880
Скайрим | Теснина Грабителя | X: -80784.000000, Y: 47328.000000, Z: -12288.000000, IconType: 5 | 0x162A7
Скайрим | Тревская застава | X: 112108.890625, Y: -82836.671875, Z: 11123.918945, IconType: 6 | 0x162C6
Скайрим | Туманная застава | X: 137472.000000, Y: -34240.000000, Z: -9749.401367, IconType: 6 | 0x16286
Скайрим | Убежище Каммона Тонг | X: 113974.000000, Y: -90421.000000, Z: 13212.000000, IconType: 5 | 0x1C0008F3
Скайрим | Убежище Потерянный Нож | X: 95320.976563, Y: -28958.369141, Z: -9470.908203, IconType: 4 | 0x16273
Скайрим | Упокоище | X: -67284.109375, Y: 52917.941406, Z: -10688.000000, IconType: 7 | 0x1622E
Скайрим | Устенгрев | X: -23079.791016, Y: 88176.742188, Z: -13778.175781, IconType: 7 | 0x1621F
Скайрим | Утес Каменный Холм | X: 16748.333984, Y: 43798.597656, Z: -1172.512817, IconType: 29 | 0x162C1
Скайрим | Утес Холодный Ветер | X: -105457.101563, Y: 14530.070313, Z: 1251.454468, IconType: 31 | 0xBB47C
Скайрим | Утесная пещера | X: -133685.328125, Y: -11703.218750, Z: -5329.333984, IconType: 4 | 0x1629D
Скайрим | Факельная шахта | X: 8248.990234, Y: -57382.937500, Z: 1490.983765, IconType: 15 | 0xB6CDF
Скайрим | Ферма Катлы | X: -74344.156250, Y: 96470.007813, Z: -11512.000000, IconType: 21 | 0x1635E
Скайрим | Ферма Кружка Бренди | X: 140367.328125, Y: 25866.859375, Z: -12879.368164, IconType: 13 | 0x16339
Скайрим | Ферма Лорея | X: 32789.253906, Y: 26084.455078, Z: -6761.395020, IconType: 19 | 0x16367
Скайрим | Ферма Остролист | X: 149758.328125, Y: 35760.757813, Z: -13236.953125, IconType: 13 | 0x16358
Скайрим | Ферма Пелагио | X: 19263.994141, Y: -16976.195313, Z: -4534.988281, IconType: 19 | 0x16373
Скайрим | Ферма Салвиев | X: -164369.484375, Y: 5654.129883, Z: -4498.697754, IconType: 19 | 0x16376
Скайрим | Ферма Сарети | X: 112594.890625, Y: -70922.398438, Z: 11517.471680, IconType: 19 | 0x16379
Скайрим | Ферма Снегоходов | X: 165899.843750, Y: -108707.367188, Z: 11257.864258, IconType: 19 | 0x1634C
Скайрим | Ферма Сынов Битвы | X: 33696.000000, Y: -4928.000488, Z: -4288.000000, IconType: 19 | 0x16332
Скайрим | Ферма Хлаалу | X: 146687.109375, Y: 33898.195313, Z: -13689.363281, IconType: 13 | 0x16355
Скайрим | Ферма Холодная Борозда | X: 31524.333984, Y: -10250.588867, Z: -4119.646973, IconType: 19 | 0x1633C
Скайрим | Фолгунтур | X: -47866.488281, Y: 91436.531250, Z: -13388.649414, IconType: 7 | 0x16246
Скайрим | Фолкрит - Сторожевая башня | X: -35219.171875, Y: -72844.765625, Z: 1475.004639, IconType: 22 | 0x4788C
Скайрим | Фолкрит | X: -30296.332031, Y: -86283.898438, Z: -3106.807373, IconType: 50 | 0x17760
Скайрим | Форелхост | X: 184396.078125, Y: -113416.765625, Z: 18674.029297, IconType: 7 | 0x16247
Скайрим | Форт Амол | X: 100335.921875, Y: -22860.755859, Z: -9312.756836, IconType: 6 | 0x16249
Скайрим | Форт Греймур | X: -13759.417969, Y: -8447.581055, Z: -5552.000000, IconType: 6 | 0x1624A
Скайрим | Форт Гринвол | X: 167975.921875, Y: -72408.703125, Z: 9118.492188, IconType: 6 | 0x1624D
Скайрим | Форт Дунстад | X: 28971.441406, Y: 61698.914063, Z: -8535.680664, IconType: 6 | 0x1624B
Скайрим | Форт Кастав | X: 112485.679688, Y: 53760.878906, Z: -3032.261963, IconType: 6 | 0x1624F
Скайрим | Форт Нойград | X: 33279.238281, Y: -91842.000000, Z: 13181.804688, IconType: 6 | 0x16250
Скайрим | Форт Сангард | X: -72571.375000, Y: -24475.152344, Z: 182.524078, IconType: 6 | 0x16252
Скайрим | Форт Сноухок | X: -57033.515625, Y: 69661.929688, Z: -11154.650391, IconType: 6 | 0x16251
Скайрим | Форт Феллхаммер | X: 42938.781250, Y: 70896.492188, Z: -8814.582031, IconType: 6 | 0x1624C
Скайрим | Форт Храгстад | X: -112292.046875, Y: 114083.421875, Z: -5402.291992, IconType: 6 | 0x3F510
Скайрим | Фростмир | X: 10241.499023, Y: 71188.250000, Z: -9632.000000, IconType: 7 | 0x162C2
Скайрим | Хаафингар - Лагерь Братьев Бури | X: -92573.867188, Y: 89628.804688, Z: -12200.443359, IconType: 17 | 0x94F96
Скайрим | Хармугстал | X: -137142.453125, Y: 55392.140625, Z: -7762.869629, IconType: 6 | 0x16262
Скайрим | Хелген | X: 18350.400391, Y: -79480.968750, Z: 9204.411133, IconType: 2 | 0x17780
Скайрим | Хибара краболова | X: -71485.601563, Y: 44119.187500, Z: -12160.477539, IconType: 30 | 0xE66A7
Скайрим | Хижина алхимика | X: 71488.000000, Y: -84160.000000, Z: 10656.000000, IconType: 30 | 0xD3931
Скайрим | Хижина Анис | X: 667.692627, Y: -52576.496094, Z: 1728.000000, IconType: 30 | 0xD9531
Скайрим | Хижина Лунда | X: -91151.812500, Y: 17541.572266, Z: -3784.348145, IconType: 30 | 0xE66A3
Скайрим | Хижина Мико | X: -72132.367188, Y: 76174.054688, Z: -12659.539063, IconType: 30 | 0xF6F11
Скайрим | Хижина Фроки | X: 95860.406250, Y: -101620.562500, Z: 18788.746094, IconType: 30 | 0xD392D
Скайрим | Ход Древних | X: -1541.260254, Y: -99092.734375, Z: 15533.391602, IconType: 12 | 0x16231
Скайрим | Холодная | X: 125645.062500, Y: 150693.312500, Z: -13861.876953, IconType: 4 | 0x6028852
Скайрим | Храм Призывателей Ночи | X: 40560.000000, Y: 101184.000000, Z: -6384.000000, IconType: 6 | 0x17082
Скайрим | Хребет Острие Ножа | X: -70131.265625, Y: -66860.656250, Z: 2777.184570, IconType: 5 | 0x8E03C
Скайрим | Хьялмарк - Лагерь Братьев Бури | X: -10857.729492, Y: 84544.578125, Z: -12792.000000, IconType: 17 | 0x1627A
Скайрим | Часовня Боэтии | X: 161866.312500, Y: 26717.736328, Z: -4000.326416, IconType: 34 | 0x4D8DA
Скайрим | Черный Брод | X: 120427.781250, Y: -33954.398438, Z: -9782.454102, IconType: 15 | 0x17732
Скайрим | Черный проход | X: 113334.164063, Y: -46457.656250, Z: -6516.291992, IconType: 4 | 0x1622C
Скайрим | Чистое озеро | X: 133092.921875, Y: -54772.015625, Z: 9102.697266, IconType: 23 | 0x16223
Скайрим | Чистый ручей | X: -158278.453125, Y: -20197.828125, Z: 1037.111450, IconType: 4 | 0x32875
Скайрим | Шахта Колскеггр | X: -148569.265625, Y: 14191.605469, Z: -5988.937988, IconType: 15 | 0x2051D
Скайрим | Шахта Левая Рука | X: -165486.500000, Y: -313.708527, Z: -4357.198242, IconType: 15 | 0x16364
Скайрим | Шахта Потерянный Шанс | X: 197183.437500, Y: -90006.859375, Z: 7547.964844, IconType: 15 | 0xD3938
Скайрим | Шахта Северный Ветер | X: 151221.000000, Y: -45274.855469, Z: 3642.668701, IconType: 15 | 0xFDBDE
Скайрим | Щелкающая пещера | X: 116396.750000, Y: -55510.097656, Z: 5541.559082, IconType: 4 | 0x68094
Скайрим | Южная горная застава | X: 21064.986328, Y: -69234.734375, Z: 10892.354492, IconType: 31 | 0x479BB
Скайрим | Южное святилище | X: 31992.091797, Y: -105983.984375, Z: 16680.990234, IconType: 4 | 0x16217
Скайрим | Южный бастион Кричащий Ветер | X: -24357.179688, Y: -77668.460938, Z: 1745.118164, IconType: 7 | 0xB83C8
Скайрим | Южный Ноголомный проход | X: -19772.925781, Y: -50326.628906, Z: 2303.519043, IconType: 4 | 0x82213
Скайрим | Южный проход Холодных Скал | X: -47526.347656, Y: 32109.519531, Z: -1667.465942, IconType: 24 | 0xF5EAF
Солитьюд | Синий дворец | X: -51765.929688, Y: 100954.718750, Z: -8546.410156, IconType: 41 | 0xC44AB
Солитьюд | Солитьюд | X: -64942.996094, Y: 104648.000000, Z: -8426.006836, IconType: 42 | 0x4D0F4
Солстейм | Алтарь Тронда | X: 48656.078125, Y: 59823.847656, Z: 7306.366211, IconType: 11 | 0x40143BD
Солстейм | Бенконгерик | X: 48813.894531, Y: 80247.453125, Z: 7986.200195, IconType: 4 | 0x40143BE
Солстейм | Верховье Харстрада | X: 54028.195313, Y: 77963.460938, Z: 4062.283691, IconType: 23 | 0x4039F96
Солстейм | Вершинная башня | X: 49334.441406, Y: 38003.539063, Z: 4709.488281, IconType: 6 | 0x40143D9
Солстейм | Воронья Скала | X: 30883.740234, Y: 35049.726563, Z: 402.040039, IconType: 54 | 0x40143DC
Солстейм | Деревня Скаалов | X: 73452.101563, Y: 70789.539063, Z: 3647.021484, IconType: 2 | 0x40143E2
Солстейм | Дом Хродульфа | X: 43975.730469, Y: 19472.484375, Z: 1247.284546, IconType: 30 | 0x40143D6
Солстейм | Душная шахта | X: 25737.718750, Y: 55271.105469, Z: 2688.849121, IconType: 15 | 0x40296DE
Солстейм | Заброшенный постоялый двор | X: 35746.609375, Y: 52079.632813, Z: 5832.000000, IconType: 30 | 0x4017B68
Солстейм | Заснеженные руины | X: 50727.324219, Y: 69890.445313, Z: 9061.159180, IconType: 32 | 0x40247C8
Солстейм | Застава Сиринга | X: 42883.875000, Y: 83949.164063, Z: 8329.200195, IconType: 12 | 0x4019D1C
Солстейм | Кагрумез | X: 55880.054688, Y: 50199.023438, Z: 4656.555664, IconType: 8 | 0x40143C3
Солстейм | Камень Ветра | X: 63355.007813, Y: 75108.601563, Z: 2404.363770, IconType: 55 | 0x40143E7
Солстейм | Камень Воды | X: 21588.195313, Y: 64459.332031, Z: 3560.171875, IconType: 55 | 0x40143E6
Солстейм | Камень Зверя | X: 62810.945313, Y: 58376.445313, Z: 6558.212891, IconType: 55 | 0x40143E3
Солстейм | Камень Земли | X: 22957.957031, Y: 30934.894531, Z: 755.110596, IconType: 55 | 0x40143E4
Солстейм | Камень Солнца | X: 72853.976563, Y: 34654.507813, Z: 1492.821655, IconType: 55 | 0x40143E5
Солстейм | Курган Белого Хребта | X: 33691.570313, Y: 76147.085938, Z: 8753.772461, IconType: 7 | 0x40143CD
Солстейм | Курган Бладскал | X: 26130.023438, Y: 46940.957031, Z: 1309.483521, IconType: 7 | 0x40143BF
Солстейм | Курган Гильденхул | X: 84516.148438, Y: 72408.000000, Z: 506.879120, IconType: 7 | 0x40143C6
Солстейм | Курган Джолгейрр | X: 47332.105469, Y: 65544.046875, Z: 11785.262695, IconType: 7 | 0x1C002A2C
Солстейм | Курган Колбьорн | X: 38040.000000, Y: 25760.000000, Z: 1664.000000, IconType: 7 | 0x40143CC
Солстейм | Курган Хротмунда | X: 43520.378906, Y: 75283.820313, Z: 9871.720703, IconType: 4 | 0x4017BB0
Солстейм | Ледяная пещера | X: 46898.886719, Y: 92687.062500, Z: 339.536621, IconType: 4 | 0x40143D7
Солстейм | Медовый зал Тирска | X: 67273.750000, Y: 58587.335938, Z: 5618.846191, IconType: 3 | 0x40143E9
Солстейм | Место крушения Порыва ветра | X: 36220.382813, Y: 11291.637695, Z: 583.335510, IconType: 9 | 0x40143CF
Солстейм | Нчардак | X: 84722.054688, Y: 40362.996094, Z: 584.152466, IconType: 8 | 0x40143C9
Солстейм | Остров Хоркеров | X: 88251.554688, Y: 70979.445313, Z: 725.882324, IconType: 11 | 0x40143C7
Солстейм | Отмель Хакнира | X: 67552.000000, Y: 82272.000000, Z: 313.031250, IconType: 5 | 0x40143D5
Солстейм | Пепельная крепость | X: 66672.304688, Y: 41648.667969, Z: 3723.899902, IconType: 6 | 0x40143D8
Солстейм | Пещера Щетиноспин | X: 18448.054688, Y: 83246.546875, Z: 583.079346, IconType: 4 | 0x401BC48
Солстейм | Пещеры замка Карстаг | X: 36832.000000, Y: 88320.000000, Z: 4627.094727, IconType: 4 | 0x4018ED8
Солстейм | Пристанище Буйольд | X: 80275.750000, Y: 58550.363281, Z: 690.595764, IconType: 5 | 0x40143D0
Солстейм | Проход Моэсринг | X: 43061.906250, Y: 68108.203125, Z: 12417.963867, IconType: 24 | 0x40143CE
Солстейм | Роща Бродира | X: 43753.207031, Y: 43974.859375, Z: 3880.407959, IconType: 11 | 0x40143C0
Солстейм | Руины замка Карстаг | X: 33312.000000, Y: 89920.000000, Z: 6293.672852, IconType: 4 | 0x40143C1
Солстейм | Северная пристань | X: 22750.697266, Y: 92429.554688, Z: 508.915497, IconType: 33 | 0x40143DA
Солстейм | Скайрим | X: 13982.345703, Y: 23713.398438, Z: 2483.281494, IconType: 57 | 0x4016FE6
Солстейм | Старая ферма Аттия | X: 34665.785156, Y: 23258.705078, Z: 569.673035, IconType: 13 | 0x401A562
Солстейм | Старый торговый пост | X: 57695.128906, Y: 43971.992188, Z: 4190.584961, IconType: 30 | 0x4034EE4
Солстейм | Тель-Митрин | X: 75484.062500, Y: 23834.890625, Z: 2115.187988, IconType: 56 | 0x40143E8
Солстейм | Утес Морозной Луны | X: 41569.218750, Y: 57139.382813, Z: 6801.871582, IconType: 4 | 0x40143D1
Солстейм | Фалбтарз | X: 30921.021484, Y: 65459.871094, Z: 9473.582031, IconType: 8 | 0x40143C2
Солстейм | Форт Морозного Мотылька | X: 52458.886719, Y: 23940.011719, Z: 1704.000000, IconType: 6 | 0x40143C4
Солстейм | Фроссель | X: 73270.632813, Y: 84588.757813, Z: 335.996521, IconType: 4 | 0x40143C5
Солстейм | Храм Мирака | X: 56313.238281, Y: 59652.503906, Z: 9311.940430, IconType: 53 | 0x40143CA
Солстейм | Шахта Сломанный Клык | X: 22620.902344, Y: 80018.601563, Z: 5246.968750, IconType: 15 | 0x40143D4
Ущелье Утренней Зари | Форт Стражи Рассвета | X: 6685.675293, Y: 1015.637634, Z: -1800.392212, IconType: 6 | 0x200FC6C
Черный Предел | Альфтанд - Собор | X: 20640.000000, Y: 18368.000000, Z: 2432.000000, IconType: 8 | 0x31001DA3
Черный Предел | Башня Мзарк | X: -1472.000000, Y: -2912.000000, Z: 1824.000000, IconType: 6 | 0x31001D96
Черный Предел | Безмолвные Руины | X: 1984.000000, Y: 14464.000000, Z: 1056.000000, IconType: 3 | 0x31001D99
Черный Предел | Главный подъемник Альфтанда | X: 22432.000000, Y: 13344.000000, Z: 2112.000000, IconType: 8 | 0x31001DA6
Черный Предел | Главный подъемник Мзинчалефта | X: -4416.000000, Y: 15584.000000, Z: 1824.000000, IconType: 8 | 0x31001D98
Черный Предел | Главный подъмник Ральдбхара | X: 11456.000000, Y: -192.000000, Z: 1056.000000, IconType: 8 | 0x31001D93
Черный Предел | Дом смотрителя фермы | X: -5280.000000, Y: -288.000000, Z: 1664.000000, IconType: 3 | 0x31001D97
Черный Предел | Дымящаяся башня | X: 5632.000000, Y: 21088.000000, Z: 2112.000000, IconType: 6 | 0x31001DA1
Черный Предел | Заброшенная насосная станция | X: 10853.323242, Y: -3989.542969, Z: 1543.000000, IconType: 22 | 0x31001DAC
Черный Предел | Зал Дебатов | X: 3264.000000, Y: 8064.000000, Z: 2400.000000, IconType: 6 | 0x31001DA9
Черный Предел | Зал Размышлений | X: 224.000000, Y: 10240.000000, Z: 2304.000000, IconType: 6 | 0x31001DAA
Черный Предел | Искусственное солнце | X: 2240.000000, Y: 9952.000000, Z: 2368.000000, IconType: 12 | 0x3100231B
Черный Предел | Казармы стражи | X: 17216.000000, Y: 2816.000000, Z: 1248.000000, IconType: 3 | 0x31001D8D
Черный Предел | Катакомбы Тихого города | X: 7168.000000, Y: 6976.000000, Z: 992.000000, IconType: 4 | 0x31001DA7
Черный Предел | Логово троллей | X: 16576.000000, Y: -3328.000000, Z: 1088.000000, IconType: 10 | 0x31001D90
Черный Предел | Мзинчалефт - Привратное помещение | X: -7424.000000, Y: 20256.000000, Z: 3232.000000, IconType: 8 | 0x31001D8C
Черный Предел | Насосная станция | X: 4352.000000, Y: 10656.000000, Z: 0.000000, IconType: 31 | 0x31001DA8
Черный Предел | Полевая Лаборатория Синдериона | X: 18496.000000, Y: 16640.000000, Z: 2176.000000, IconType: 3 | 0x31001DA2
